JUNC,SURF,LITE,VEH1TYPE,VEH2TYPE,Hour,VEH1AGE,VEH2AGE,VEH1RESTRAINT,VEH2RESTRAINT,VEH1TESTRESULT,VEH2TESTRESULT,StateFunctionalClassCode,NumofGroupofFirstCollisionType,VEH1AIRBAG,VEH2AIRBAG,VEH1CCCODE1,VEH2CCCODE1,Injury
5,2,1,1,1,18,44,17,4,4,0,0,U5,9,1,1,7,18,0
5,1,1,1,0,13,76,0,4,0,0,0,U1,2,0,0,17,0,0
1,2,1,1,10,8,59,31,4,4,0,0,U1,1,1,1,10,18,0
1,1,1,1,1,12,18,64,4,4,0,0,U1,9,1,1,23,18,1
5,1,4,2,1,21,35,24,4,0,0,0,U1,11,1,0,5,18,0
1,1,1,2,2,10,16,31,0,0,0,0,U1,1,1,1,5,52,0
1,1,1,1,2,9,17,44,4,4,0,0,U1,10,1,1,23,18,1
1,2,1,1,1,14,29,67,3,3,0,0,U2,9,1,1,7,18,1
4,1,1,1,1,16,28,62,4,4,0,0,U1,9,1,1,50,50,1
3,1,1,2,2,13,35,35,4,4,0,0,U2,10,1,1,23,18,0
1,1,1,1,2,7,68,44,4,4,0,0,U2,1,1,5,5,51,0
3,2,1,1,1,15,23,26,0,0,0,0,U2,9,1,1,17,7,0
1,1,1,10,1,14,60,41,4,4,0,0,U1,11,1,1,17,18,0
1,1,2,1,1,6,62,48,4,4,0,0,U1,1,4,2,11,18,1
2,1,1,1,2,18,23,52,4,4,0,0,U1,9,1,1,23,52,0
1,1,1,2,1,12,49,26,4,4,0,0,U1,4,1,1,10,18,0
1,1,9,6,2,0,32,54,4,4,0,0,U1,9,0,1,7,18,0
1,1,1,1,2,14,69,75,4,4,0,0,U1,4,0,0,5,18,2
1,1,1,2,2,15,54,39,4,4,0,0,U1,11,1,1,5,18,0
1,2,1,1,2,13,18,47,4,4,0,0,U1,1,0,1,4,18,0
4,2,1,1,2,13,31,49,4,4,0,0,U1,9,1,1,4,18,1
6,2,1,2,1,17,47,52,4,4,0,0,U1,1,1,1,5,18,0
4,1,4,2,2,21,44,28,0,0,0,0,U1,11,1,1,23,23,0
4,1,1,2,1,14,0,60,0,4,0,0,U1,9,0,1,18,4,0
5,1,1,2,1,14,16,54,4,4,0,0,U1,9,1,1,23,18,1
1,1,1,1,2,13,71,60,4,4,0,0,U1,9,1,1,23,18,0
1,1,1,2,3,11,42,46,4,4,0,0,U1,9,4,1,43,18,2
1,1,1,1,3,8,20,52,4,4,0,0,U1,11,1,1,5,18,1
1,1,4,1,2,19,90,72,4,4,0,0,U1,1,2,4,5,18,1
5,1,1,12,0,18,27,0,0,0,0,0,U1,6,0,0,18,0,0
4,1,1,1,2,17,62,42,4,4,0,0,U1,9,4,1,7,18,1
3,1,4,1,1,22,46,41,4,4,0,0,U1,4,1,4,5,18,2
5,2,4,13,0,0,30,0,0,0,0,0,U1,2,0,0,1,0,3
1,1,1,2,2,17,67,47,0,3,0,0,U1,9,1,1,18,7,1
4,1,1,1,1,12,21,78,4,4,0,0,U1,9,1,1,23,18,0
4,1,6,1,0,3,21,0,0,0,0,0,U1,2,1,0,2,0,2
